product_id,date,quantity,revenue,promotion_active
1,2022-01-01,254,156148.51,0
1,2022-01-02,265,163411.42,0
1,2022-01-03,346,244174.79,0
1,2022-01-04,376,249974.56,0
1,2022-01-05,218,134642.86,0
1,2022-01-06,254,162389.19,0
1,2022-01-07,373,244415.25,0
1,2022-01-08,233,152334.49,0
1,2022-01-09,169,98976.32,0
1,2022-01-10,359,218234.28,0
1,2022-01-11,293,211779.6,0
1,2022-01-12,345,243659.17,0
1,2022-01-13,363,228051.72,0
1,2022-01-14,280,185682.36,0
1,2022-01-15,237,141314.12,0
1,2022-01-16,285,206967.72,0
1,2022-01-17,365,251822.28,0
1,2022-01-18,304,208043.16,0
1,2022-01-19,356,249205.63,0
1,2022-01-20,265,189481.33,0
1,2022-01-21,388,262563.19,0
1,2022-01-22,211,147263.59,0
1,2022-01-23,162,96519.15,0
1,2022-01-24,211,123930.99,0
1,2022-01-25,193,128944.07,1
1,2022-01-26,323,189780.36,0
1,2022-01-27,248,163214.27,0
1,2022-01-28,281,172401.49,0
1,2022-01-29,312,210564.17,0
1,2022-01-30,289,209275.23,0
1,2022-01-31,365,226859.99,0
1,2022-02-01,264,156693.97,1
1,2022-02-02,255,154871.58,0
1,2022-02-03,403,249270.75,0
1,2022-02-04,360,224229.16,0
1,2022-02-05,265,182719.13,0
1,2022-02-06,155,95816.71,0
1,2022-02-07,414,286657.47,1
1,2022-02-08,288,171751.05,0
1,2022-02-09,416,270826.13,0
1,2022-02-10,182,122257.53,0
1,2022-02-11,224,131871.73,0
1,2022-02-12,214,151247.7,0
1,2022-02-13,312,189019.54,0
1,2022-02-14,291,194204.06,0
1,2022-02-15,307,204421.71,0
1,2022-02-16,266,175965.28,0
1,2022-02-17,432,275749.71,0
1,2022-02-18,274,172220.1,0
1,2022-02-19,221,129397.0,0
1,2022-02-20,186,127134.01,0
1,2022-02-21,282,200168.82,0
1,2022-02-22,265,161104.84,0
1,2022-02-23,357,249735.3,0
1,2022-02-24,195,135546.72,0
1,2022-02-25,230,165041.82,0
